FileID	FileName	Word	Type
1	100159_1119701G1084_1_02.xml	Ｉｓｏｆｌｕｒａｎｅ	ENG
1	100159_1119701G1084_1_02.xml	イソフルラン	JPN
2	100159_1124015M2038_1_02.xml	ＣｌｏｒａｚｅｐａｔｅＤｉｐｏｔａｓｓｉｕｍ	ENG
2	100159_1124015M2038_1_02.xml	クロラゼプ酸二カリウム	JPN
3	100159_1141700J1045_3_05.xml	Ａｃｅｔａｍｉｎｏｐｈｅｎ	ENG
3	100159_1141700J1045_3_05.xml	ＪＡＮ	Label
3	100159_1141700J1045_3_05.xml	アセトアミノフェン	JPN
4	100159_1231013D1067_3_06.xml	ＪＡＮ	Label
4	100159_1231013D1067_3_06.xml	ＴｉｑｕｉｚｉｕｍＢｒｏｍｉｄｅ	ENG
4	100159_1231013D1067_3_06.xml	チキジウム臭化物	JPN
5	100159_1242401A1358_1_01.xml	ＪＡＮ	Label
5	100159_1242401A1358_1_01.xml	ＳｃｏｐｏｌａｍｉｎｅＢｕｔｙｌｂｒｏｍｉｄｅ	ENG
5	100159_1242401A1358_1_01.xml	ブチルスコポラミン臭化物	JPN
6	100159_2115400A1240_1_01.xml	ＡｍｉｎｏｐｈｙｌｌｉｎｅＨｙｄｒａｔｅ	ENG
6	100159_2115400A1240_1_01.xml	ＪＡＮ	Label
6	100159_2115400A1240_1_01.xml	アミノフィリン水和物	JPN
7	100159_2149023F1022_1_17.xml	ＪＡＮ	Label
7	100159_2149023F1022_1_17.xml	ＴｅｒａｚｏｓｉｎＨｙｄｒｏｃｈｌｏｒｉｄｅＨｙｄｒａｔｅ	ENG
7	100159_2149023F1022_1_17.xml	テラゾシン塩酸塩水和物	JPN
8	100159_2229101F1060_1_02.xml	ＣｈｌｏｒｐｈｅｎｉｒａｍｉｎｅＭａｌｅａｔｅ	ENG
8	100159_2229101F1060_1_02.xml	ＤｉｈｙｄｒｏｃｏｄｅｉｎｅＰｈｏｓｐｈａｔｅ	ENG
8	100159_2229101F1060_1_02.xml	ＤＬ－ＭｅｔｈｙｌｅｐｈｅｄｒｉｎｅＨｙｄｒｏｃｈｌｏｒｉｄｅ	ENG
8	100159_2229101F1060_1_02.xml	ＪＡＮ	Label
8	100159_2229101F1060_1_02.xml	ＪＡＮ	Label
8	100159_2229101F1060_1_02.xml	ＪＡＮ	Label
8	100159_2229101F1060_1_02.xml	ＤＬ－メチルエフェドリン塩酸塩	JPN
8	100159_2229101F1060_1_02.xml	クロルフェニラミンマレイン酸塩	JPN
8	100159_2229101F1060_1_02.xml	ジヒドロコデインリン酸塩	JPN
9	100159_2229102Q1120_1_02.xml	ＣｈｌｏｒｐｈｅｎｉｒａｍｉｎｅＭａｌｅａｔｅ	ENG
9	100159_2229102Q1120_1_02.xml	ＤｉｈｙｄｒｏｃｏｄｅｉｎｅＰｈｏｓｐｈａｔｅ	ENG
9	100159_2229102Q1120_1_02.xml	ＤＬ－ＭｅｔｈｙｌｅｐｈｅｄｒｉｎｅＨｙｄｒｏｃｈｌｏｒｉｄｅ	ENG
9	100159_2229102Q1120_1_02.xml	ＪＡＮ	Label
9	100159_2229102Q1120_1_02.xml	ＪＡＮ	Label
9	100159_2229102Q1120_1_02.xml	ＪＡＮ	Label
9	100159_2229102Q1120_1_02.xml	ＤＬ－メチルエフェドリン塩酸塩	JPN
9	100159_2229102Q1120_1_02.xml	クロルフェニラミンマレイン酸塩	JPN
9	100159_2229102Q1120_1_02.xml	ジヒドロコデインリン酸塩	JPN
