Pattern,ClusterNumber1,,Count,Cluster_number.Record.,paste..Cluster....Cluster_number.Record..
[ActIngreName]<BR>[Number][Unit]<<BR>>備考<BR>健康なブタの小腸粘膜に由来,97,95,5,1,Cluster  1
[BrandName]<BR>[Number][Unit]（[Number][Unit]）中に[ActIngreName]（ブタ小腸粘膜由来）を[Number][Unit]（抗第Ｘａ因子活性）含有する（[Number][Unit]あたり[Number][Unit]）,97,95,1,1,Cluster  1
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName]（ブタの小腸由来）[Number][Unit]（抗第Ｘａ因子活性）を含有する,97,95,1,1,Cluster  1
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName]（ブタの腸粘膜由来）[Number][Unit]を含有する,97,95,1,1,Cluster  1
[BrandName]は[Number][Unit]中健康な食用獣（ブタ）の腸粘膜から得た[ActIngreName][Number][Unit]を含む[Color]の[Form]である,1,93,3,1,Cluster  1
[BrandName]は[Number][Unit]（[CaseName]）[Number][Unit]中健康な食用獣（ブタ）の腸粘膜から得た[ActIngreName][Number][Unit]を含む[Color]の[Form]である,1,93,2,1,Cluster  1
[BrandName]は[Number][Unit]（[Number][Unit]）中に下記の成分分量を含有する<<BR>>有効成分<BR>[ActIngreName][Number]＄備考：ヘビの毒[Form]に由来する<<BR>>＄（ＢａｔｒｏｘｏｂｉｎＵｎｉｔ以下ＢＵと略）とは[ActIngreName]の酵素活性量を表す単位で[Number][Unit]で標準ヒト[ActIngreName]加血漿[Number][Unit]に[ActIngreName][Form][Number][Unit]を加えるとき[Number]±[Number]秒で凝固する活性量を[Number]ＢＵとする,59,99,1,1,Cluster  1
[BrandName]は[Number][Unit]（[Number][Unit]）中に下記成分を含有する<<BR>>有効成分<BR>成分名：[ActIngreName]「トービシ」含量：[Number][Unit]備考：ウサギの皮膚に由来する<<BR>>本剤は製造工程でウシ血清[ActIngreName]を使用している,95,100,1,1,Cluster  1
[BrandName]は[Number][Unit]（[Number][Unit]）中健康なブタ腸粘膜由来のヘパリンを化学的に分解し分離精製して得た[ActIngreName][Number][Unit]（抗第Ｘａ因子活性）を含む[Color]の[Form]である,1,93,3,1,Cluster  1
[Form][Number][Unit]中に次の成分を含有<<BR>><BR>[ActIngreName]（石[Form]系炭化[Form]素由来の球形[Form]多孔質炭素を高温にて酸化及び還元処理して得た[ActIngreName]）[Number][Unit],10,96,1,1,Cluster  1
